title,genre
Catch-22,Classics
Catch-22,Fiction
Catch-22,Historical
Catch-22,War
Catch-22,Humor
Little Women,Classics
Little Women,Fiction
Little Women,Historical
Little Women,Romance
Little Women,Historical
Harry Potter and the Deathly Hallows,Fantasy
Harry Potter and the Deathly Hallows,Fiction
Harry Potter and the Deathly Hallows,Fantasy
Harry Potter and the Deathly Hallows,Magic
Harry Potter and the Deathly Hallows,Childrens
The Stand,Horror
The Stand,Fiction
The Stand,Fantasy
The Stand,Thriller
The Stand,Dystopia
The Pillars of the Earth,Historical
The Pillars of the Earth,Fiction
The Pillars of the Earth,Historical
The Pillars of the Earth,Fantasy
The Pillars of the Earth,Classics
1984,Classics
1984,Fiction
1984,Dystopia
1984,Literature
1984,Novels
The Adventures of Sherlock Holmes,Classics
The Adventures of Sherlock Holmes,Mystery
The Adventures of Sherlock Holmes,Fiction
The Adventures of Sherlock Holmes,Mystery
The Adventures of Sherlock Holmes,Crime
Watership Down,Classics
Watership Down,Fiction
Watership Down,Fantasy
Watership Down,Animals
Watership Down,Childrens
Great Expectations,Classics
Great Expectations,Fiction
Great Expectations,Literature
Great Expectations,Historical
Great Expectations,Academic
The Bell Jar,Classics
The Bell Jar,Fiction
The Bell Jar,Feminism
The Bell Jar,Health
The Bell Jar,Psychology
Matilda,Childrens
Matilda,Fiction
Matilda,Classics
Matilda,Fantasy
Matilda,Childrens
Anna Karenina,Classics
Anna Karenina,Fiction
Anna Karenina,Romance
Anna Karenina,Cultural
Anna Karenina,Russia
The Fellowship of the Ring,Fantasy
The Fellowship of the Ring,Classics
The Fellowship of the Ring,Fiction
The Fellowship of the Ring,Adventure
The Fellowship of the Ring,Fantasy
One Flew Over the Cuckoo's Nest,Classics
One Flew Over the Cuckoo's Nest,Fiction
One Flew Over the Cuckoo's Nest,Psychology
One Flew Over the Cuckoo's Nest,Literature
One Flew Over the Cuckoo's Nest,Novels
Outlander,Historical
Outlander,Romance
Outlander,Fantasy
Outlander,Fiction
Outlander,Historical
The Girl with the Dragon Tattoo,Fiction
The Girl with the Dragon Tattoo,Mystery
The Girl with the Dragon Tattoo,Thriller
The Girl with the Dragon Tattoo,Mystery
The Girl with the Dragon Tattoo,Crime
My Sister's Keeper,Fiction
My Sister's Keeper,Drama
My Sister's Keeper,Adult
My Sister's Keeper,Family
My Sister's Keeper,Novels
Rebecca,Classics
Rebecca,Fiction
Rebecca,Mystery
Rebecca,Gothic
Rebecca,Romance
The Color Purple,Classics
The Color Purple,Fiction
The Color Purple,Historical
The Color Purple,Feminism
The Color Purple,Historical
A Tree Grows in Brooklyn,Classics
A Tree Grows in Brooklyn,Fiction
A Tree Grows in Brooklyn,Historical
A Tree Grows in Brooklyn,Historical
A Tree Grows in Brooklyn,Literature
The Brothers Karamazov,Classics
The Brothers Karamazov,Fiction
The Brothers Karamazov,Cultural
The Brothers Karamazov,Russia
The Brothers Karamazov,Literature
A Clockwork Orange,Classics
A Clockwork Orange,Fiction
A Clockwork Orange,Dystopia
A Clockwork Orange,Literature
A Clockwork Orange,Novels
Harry Potter and the Prisoner of Azkaban,Fantasy
Harry Potter and the Prisoner of Azkaban,Fiction
Harry Potter and the Prisoner of Azkaban,Fantasy
Harry Potter and the Prisoner of Azkaban,Magic
Harry Potter and the Prisoner of Azkaban,Childrens
The Road,Fiction
The Road,Dystopia
The Road,Classics
The Road,Horror
The Road,Literature
Angela's Ashes,Memoir
Angela's Ashes,Biography
Angela's Ashes,Classics
Angela's Ashes,Cultural
Angela's Ashes,Ireland
Vampire Academy,Fantasy
Vampire Academy,Paranormal
Vampire Academy,Vampires
Vampire Academy,Fantasy
Vampire Academy,Paranormal
Siddhartha,Classics
Siddhartha,Fiction
Siddhartha,Philosophy
Siddhartha,Religion
Siddhartha,Literature
The Poisonwood Bible,Fiction
The Poisonwood Bible,Historical
The Poisonwood Bible,Cultural
The Poisonwood Bible,Africa
The Poisonwood Bible,Classics
The Golden Compass,Fantasy
The Golden Compass,Fiction
The Golden Compass,Childrens
The Golden Compass,Adventure
The Golden Compass,Childrens
Don Quixote,Classics
Don Quixote,Fiction
Don Quixote,Literature
Don Quixote,Adventure
Don Quixote,Novels
Atlas Shrugged,Fiction
Atlas Shrugged,Classics
Atlas Shrugged,Philosophy
Atlas Shrugged,Literature
Atlas Shrugged,Politics
The Old Man and the Sea,Classics
The Old Man and the Sea,Fiction
The Old Man and the Sea,Literature
The Old Man and the Sea,Novels
The Old Man and the Sea,Literature
The Notebook,Romance
The Notebook,Fiction
The Notebook,Adult
The Notebook,Romance
The Notebook,Classics
Winnie-the-Pooh,Classics
Winnie-the-Pooh,Childrens
Winnie-the-Pooh,Fiction
Winnie-the-Pooh,Fantasy
Winnie-the-Pooh,Animals
The Complete Stories and Poems,Classics
The Complete Stories and Poems,Poetry
The Complete Stories and Poems,Horror
The Complete Stories and Poems,Fiction
The Complete Stories and Poems,Mystery
Interview with the Vampire,Horror
Interview with the Vampire,Fantasy
Interview with the Vampire,Fiction
Interview with the Vampire,Paranormal
Interview with the Vampire,Vampires
A Prayer for Owen Meany,Fiction
A Prayer for Owen Meany,Classics
A Prayer for Owen Meany,Literature
A Prayer for Owen Meany,Novels
A Prayer for Owen Meany,Historical
Breaking Dawn,Fantasy
Breaking Dawn,Romance
Breaking Dawn,Paranormal
Breaking Dawn,Vampires
Breaking Dawn,Fiction
New Moon,Fantasy
New Moon,Romance
New Moon,Paranormal
New Moon,Vampires
New Moon,Fiction
Eclipse,Fantasy
Eclipse,Romance
Eclipse,Paranormal
Eclipse,Vampires
Eclipse,Fiction
Miles to Go,Biography
Miles to Go,Biography
Miles to Go,Memoir
Miles to Go,Music
Miles to Go,Childrens
Guilty: Liberal &quot;Victims&quot; and Their Assault on America,Politics
